src 	 time 	 tahrs 	 bank 	 attitude 	 heading 	 traw 	 acc[0] 	 acc[1] 	 acc[2] 	 mag[0] 	 mag[1] 	 mag[2] 	 gyr[0] 	 gyr[1] 	 gyr[2]
1 	 2.301233 	 1979076.000000 	 -101.145042 	 -78.724884 	 311.053345 	 1979076.000000 	 -10.163160 	 -1.922760 	 0.392400 	 -0.662687 	 -0.040299 	 0.267164 	 -0.008552 	 0.002443 	 0.021991
2 	 2.306243 	 1972966.000000 	 107.771950 	 -68.303673 	 200.710281 	 1972966.000000 	 -9.613801 	 3.688560 	 1.098720 	 -0.308955 	 -0.229851 	 0.876119 	 0.010996 	 0.004887 	 0.008552
1 	 2.325122 	 1979096.000000 	 -101.105087 	 -78.708649 	 311.088196 	 1979096.000000 	 -9.888481 	 -2.040480 	 0.313920 	 -0.671642 	 -0.026866 	 0.262687 	 -0.006109 	 0.007330 	 0.020769
2 	 2.329773 	 1972976.000000 	 107.776268 	 -68.299011 	 200.713867 	 1972976.000000 	 -9.496080 	 3.649320 	 1.177200 	 -0.310448 	 -0.232836 	 0.876119 	 0.003665 	 0.003665 	 0.015882
1 	 2.349097 	 1979116.000000 	 -101.068085 	 -78.710350 	 311.125702 	 1979116.000000 	 -9.927721 	 -1.922760 	 0.313920 	 -0.670149 	 -0.031343 	 0.262687 	 0.001222 	 0.003665 	 0.020769
2 	 2.353897 	 1972986.000000 	 107.757637 	 -68.293259 	 200.696243 	 1972986.000000 	 -9.574560 	 3.688560 	 1.098720 	 -0.317910 	 -0.231343 	 0.876119 	 0.004887 	 0.004887 	 0.020769
1 	 2.372244 	 1979146.000000 	 -101.001434 	 -78.719376 	 311.193115 	 1979146.000000 	 -9.927721 	 -1.922760 	 0.274680 	 -0.670149 	 -0.031343 	 0.262687 	 -0.002443 	 0.008552 	 0.021991
2 	 2.378578 	 1973006.000000 	 107.684082 	 -68.280945 	 200.632477 	 1973006.000000 	 -9.496080 	 3.688560 	 0.981000 	 -0.314925 	 -0.231343 	 0.897015 	 0.010996 	 0.001222 	 0.020769
1 	 2.401335 	 1979156.000000 	 -100.995590 	 -78.724792 	 311.202484 	 1979156.000000 	 -9.966961 	 -1.844280 	 0.353160 	 -0.665672 	 -0.038806 	 0.267164 	 0.004887 	 0.007330 	 0.015882
2 	 2.406728 	 1973036.000000 	 107.606323 	 -68.302284 	 200.559662 	 1973036.000000 	 -9.535320 	 3.570840 	 1.020240 	 -0.311940 	 -0.229851 	 0.882090 	 0.006109 	 0.008552 	 0.012217
1 	 2.429364 	 1979177.000000 	 -100.912170 	 -78.736900 	 311.285278 	 1979177.000000 	 -9.927721 	 -1.844280 	 0.235440 	 -0.661194 	 -0.032836 	 0.261194 	 -0.001222 	 0.013439 	 0.018326
1 	 2.458239 	 1979186.000000 	 -100.919769 	 -78.736534 	 311.279388 	 1979186.000000 	 -9.927721 	 -1.962000 	 0.431640 	 -0.667164 	 -0.037313 	 0.264179 	 0.000000 	 0.010996 	 0.023213
2 	 2.463690 	 1973066.000000 	 107.569099 	 -68.314713 	 200.526962 	 1973066.000000 	 -9.456841 	 3.610080 	 1.098720 	 -0.311940 	 -0.231343 	 0.867164 	 0.003665 	 0.007330 	 0.020769
1 	 2.486784 	 1979206.000000 	 -100.965576 	 -78.731995 	 311.233704 	 1979206.000000 	 -9.927721 	 -1.962000 	 0.510120 	 -0.661194 	 -0.035821 	 0.261194 	 -0.001222 	 0.008552 	 0.018326
2 	 2.492251 	 1973086.000000 	 107.524338 	 -68.331734 	 200.484024 	 1973086.000000 	 -9.496080 	 3.492360 	 1.059480 	 -0.317910 	 -0.238806 	 0.897015 	 0.009774 	 0.008552 	 0.015882
1 	 2.515223 	 1979226.000000 	 -101.048569 	 -78.716148 	 311.151520 	 1979226.000000 	 -9.966961 	 -2.001240 	 0.549360 	 -0.671642 	 -0.029851 	 0.267164 	 -0.006109 	 0.004887 	 0.019548
2 	 2.521009 	 1973096.000000 	 107.501450 	 -68.331528 	 200.465836 	 1973096.000000 	 -9.613801 	 3.649320 	 1.059480 	 -0.313433 	 -0.229851 	 0.888060 	 0.010996 	 0.004887 	 0.018326
